Player,Player-additional,Team,MP,OBPM,DBPM,VORP,Pos,Year
JJ Redick,redicjj01,NOP,576,-0.8,-2.0,-0.1,SG,2021
James Johnson,johnsja01,NOP,539,-3.3,0.5,-0.1,PF,2021
Wes Iwundu,iwundwe01,NOP,251,-6.8,-1.2,-0.4,SF,2021
Nicolò Melli,mellini01,NOP,241,-4.9,1.1,-0.1,PF,2021
Wenyen Gabriel,gabriwe01,NOP,241,-3.2,-0.1,-0.1,PF,2021
Sindarius Thornwell,thornsi01,NOP,73,-6.0,0.7,-0.1,SG,2021
Didi Louzada,louzama01,NOP,56,-7.8,-1.8,-0.1,SF,2021
James Nunnally,nunnaja01,NOP,48,-0.9,-1.8,0.0,SF,2021
Isaiah Thomas,thomais02,NOP,48,-7.8,-5.2,-0.1,PG,2021
Will Magnay,magnawi01,NOP,3,-30.7,-8.6,0.0,C,2021
Domantas Sabonis,sabondo01,IND,2231,2.3,1.6,3.3,PF,2021
Justin Holiday,holidju01,IND,2183,-0.9,-0.1,0.6,SG,2021
Malcolm Brogdon,brogdma01,IND,1930,3.0,-0.9,2.0,PG,2021
T.J. McConnell,mccontj01,IND,1796,-0.2,1.7,1.5,PG,2021
Doug McDermott,mcderdo01,IND,1619,1.4,-2.0,0.6,PF,2021
Myles Turner,turnemy01,IND,1455,-1.6,2.0,0.9,C,2021
Aaron Holiday,holidaa01,IND,1176,-3.3,-0.9,-0.7,PG,2021
Caris LeVert,leverca01,IND,1152,0.5,-0.5,0.6,SG,2021
Edmond Sumner,sumneed01,IND,861,-2.3,-0.5,-0.2,SG,2021
Jeremy Lamb,lambje01,IND,765,0.7,0.7,0.7,SG,2021
Goga Bitadze,bitadgo01,IND,561,-2.0,1.0,0.1,C,2021
Oshae Brissett,brissos01,IND,519,1.1,-0.5,0.3,SF,2021
Kelan Martin,martike03,IND,322,-1.1,-1.3,0.0,SF,2021
JaKarr Sampson,sampsja02,IND,316,-5.2,-2.3,-0.4,PF,2021
Victor Oladipo,oladivi01,IND,300,0.0,-0.1,0.1,SG,2021
T.J. Warren,warretj01,IND,117,-3.6,-1.9,-0.1,SF,2021
Cassius Stanley,stanlca01,IND,93,-7.2,-4.0,-0.2,SG,2021
Amida Brimah,brimaam01,IND,29,-6.2,1.4,0.0,C,2021
Brian Bowen,bowenbr02,IND,15,-8.1,-2.9,0.0,SF,2021
Jalen Lecque,lecquja01,IND,12,-6.6,-6.3,0.0,PG,2021
Nikola Jokić,jokicni01,DEN,2488,9.1,3.0,8.8,C,2021
Michael Porter Jr.,portemi01,DEN,1912,4.0,-0.9,2.5,SF,2021
Will Barton,bartowi01,DEN,1736,-1.0,-0.8,0.1,SF,2021
Jamal Murray,murraja01,DEN,1704,2.7,-0.7,1.7,PG,2021
Facundo Campazzo,campafa01,DEN,1425,-1.7,1.2,0.5,PG,2021
Monte Morris,morrimo01,DEN,1196,0.1,-0.5,0.5,PG,2021
Paul Millsap,millspa01,DEN,1162,0.3,0.7,0.9,PF,2021
JaMychal Green,greenja01,DEN,1120,-0.5,-1.0,0.1,PF,2021
PJ Dozier,doziepj01,DEN,1088,-2.3,-0.4,-0.2,SG,2021
Aaron Gordon,gordoaa01,DEN,648,-0.1,-0.3,0.3,PF,2021
Gary Harris,harriga01,DEN,581,-2.2,-0.6,-0.1,SG,2021
Austin Rivers,riverau01,DEN,403,-2.1,0.4,0.0,SG,2021
Zeke Nnaji,nnajize01,DEN,397,-0.6,-1.1,0.0,PF,2021
Vlatko Čančar,cancavl01,DEN,281,-2.6,0.0,0.0,PF,2021
Shaquille Harrison,harrish01,DEN,277,-5.4,1.8,-0.1,SG,2021
Isaiah Hartenstein,harteis01,DEN,272,-4.3,0.6,-0.1,C,2021
R.J. Hampton,hamptrj01,DEN,233,-4.4,-0.9,-0.2,SG,2021
Markus Howard,howarma02,DEN,205,-5.5,-3.2,-0.3,SG,2021
