Player,Player-additional,Tm,Salary,Year
LeBron James,jamesle01,LAL,41180544,2022
Giannis Antetokounmpo,antetgi01,MIL,39344970,2022
Damian Lillard,lillada01,POR,39344900,2022
Kawhi Leonard,leonaka01,LAC,39344900,2022
Paul George,georgpa01,LAC,39344900,2022
Klay Thompson,thompkl01,GSW,37980720,2022
Jimmy Butler,butleji01,MIA,36016200,2022
Tobias Harris,harrito02,PHI,35995950,2022
Khris Middleton,middlkh01,MIL,35500000,2022
Anthony Davis,davisan02,LAL,35361360,2022
Rudy Gobert,goberru01,UTA,35344828,2022
Kyrie Irving,irvinky01,BRK,35328700,2022
Bradley Beal,bealbr01,WAS,33724200,2022
Ben Simmons,simmobe01,LAC,33003936,2022
Pascal Siakam,siakapa01,TOR,33003936,2022
Jrue Holiday,holidjr01,MIL,32413333,2022
Devin Booker,bookede01,PHO,31650600,2022
Karl-Anthony Towns,townska01,MIN,31650600,2022
Kristaps Porziņģis,porzikr01,WAS,31650600,2022
Joel Embiid,embiijo01,PHI,31579390,2022
Andrew Wiggins,wiggian01,GSW,31579390,2022
Nikola Jokić,jokicni01,DEN,31579390,2022
Kevin Love,loveke01,CLE,31258256,2022
CJ McCollum,mccolcj01,NOP,30864198,2022
D'Angelo Russell,russeda01,MIN,30013500,2022
Chris Paul,paulch01,PHO,30000000,2022
Gordon Hayward,haywago01,CHO,29925000,2022
Jamal Murray,murraja01,DEN,29467800,2022
Brandon Ingram,ingrabr01,NOP,29467800,2022
De'Aaron Fox,foxde01,SAC,28103550,2022
Bam Adebayo,adebaba01,MIA,28103500,2022
Donovan Mitchell,mitchdo01,UTA,28103500,2022
Jayson Tatum,tatumja01,BOS,28103500,2022
Al Horford,horfoal01,BOS,27000000,2022
Kyle Lowry,lowryky01,MIA,26894128,2022
Jaylen Brown,brownja02,BOS,26758928,2022
DeMar DeRozan,derozde01,CHI,26000000,2022
Draymond Green,greendr01,GSW,24026712,2022
Nikola Vučević,vucevni01,CHI,24000000,2022
John Collins,collijo01,ATL,23000000,2022
Buddy Hield,hieldbu01,IND,22768890,2022
Julius Randle,randlju01,NYK,21780000,2022
Malcolm Brogdon,brogdma01,IND,21700000,2022
Tim Hardaway Jr.,hardati02,DAL,21308816,2022
Mike Conley,conlemi01,UTA,21000000,2022
Gary Harris,harriga01,ORL,20482143,2022
Danilo Gallinari,gallida01,ATL,20475000,2022
Harrison Barnes,barneha02,SAC,20284091,2022
